Degree,Alpha,Train Accuracy,Valid Accuracy,Train F1,Valid F1
1,0.001,0.6066472303206997,0.6061454142615591,0.520199146514936,0.5263969711841828
1,0.01,0.6066472303206997,0.6061454142615591,0.520199146514936,0.5263969711841828
1,0.1,0.6066472303206997,0.6061454142615591,0.520199146514936,0.5263969711841828
1,1.0,0.6066472303206997,0.6061454142615591,0.520199146514936,0.5263969711841828
1,10.0,0.6066472303206997,0.6061454142615591,0.520199146514936,0.5263969711841828
1,100.0,0.6067492711370263,0.605853886070783,0.5200932168715422,0.5258802076027493
1,1000.0,0.6070553935860058,0.6061454142615591,0.5185912776368896,0.5238598717135405
2,0.001,0.6139067055393586,0.6089440848930091,0.4836231771036419,0.4862504787437763
2,0.01,0.6139067055393586,0.6089440848930091,0.4836231771036419,0.4862504787437763
2,0.1,0.6139067055393586,0.6089440848930091,0.4836231771036419,0.4862504787437763
2,1.0,0.6139067055393586,0.6089440848930091,0.4836231771036419,0.4862504787437763
2,10.0,0.613935860058309,0.6088274736166988,0.4836420354844999,0.48601853979927984
2,100.0,0.6140087463556851,0.6086525567022331,0.4837093220504221,0.4856704980842912
2,1000.0,0.6137755102040816,0.6089440848930091,0.4827114937816045,0.48569894946706543
3,0.001,0.615932944606414,0.6092356130837852,0.4658706185253512,0.4664012738853503
3,0.01,0.615932944606414,0.6092356130837852,0.4658706185253512,0.4664012738853503
3,0.1,0.615932944606414,0.6092356130837852,0.4658706185253512,0.4664012738853503
3,1.0,0.6159183673469387,0.6092356130837852,0.46583951668491264,0.4664012738853503
3,10.0,0.6159620991253645,0.6092356130837852,0.4658461912775491,0.4664012738853503
3,100.0,0.6160349854227405,0.6094688356364061,0.46572008113590263,0.46654985664224274
3,1000.0,0.6160787172011661,0.6098769751034925,0.46418326450064085,0.4651906322436256
4,0.001,0.6165014577259476,0.6094688356364061,0.4668666153284967,0.4664648717540226
4,0.01,0.6165014577259476,0.6094688356364061,0.4668666153284967,0.4664648717540226
4,0.1,0.6165014577259476,0.6094688356364061,0.4668666153284967,0.4664648717540226
4,1.0,0.6165306122448979,0.6094105299982508,0.4668855382619974,0.46634270692264795
4,10.0,0.6165160349854227,0.6094688356364061,0.46678963050043576,0.4663798597833015
4,100.0,0.6165014577259476,0.6098769751034925,0.46604424599147554,0.46629975273191354
4,1000.0,0.6165451895043732,0.6093522243600956,0.46205443874107854,0.46080798326090455
5,0.001,0.6174927113702624,0.6097603638271821,0.46510110893672535,0.46271172834550856
5,0.01,0.6174927113702624,0.6097603638271821,0.46510110893672535,0.46271172834550856
5,0.1,0.6174927113702624,0.6097603638271821,0.46510110893672535,0.46271172834550856
5,1.0,0.6174927113702624,0.6097603638271821,0.46510110893672535,0.46271172834550856
5,10.0,0.6174635568513119,0.6097603638271821,0.46501671695343716,0.46271172834550856
5,100.0,0.6173032069970845,0.6097603638271821,0.46447585827060767,0.4623664551369588
5,1000.0,0.6170991253644315,0.6098769751034925,0.4608026275274556,0.45948784231359563
